user|time|tweet|latitude|longitude
EvaristoCoimbra|Mon Mar 30 21:48:02 +0000 2015|RT @brasil247: Itau e condenado por racismo apos barrar cliente em agencia no centro de Sao Paulo http://t.co/gya3CvhjJt Banco tera de paga...||
ExperiGames|Mon Mar 30 21:48:02 +0000 2015|Video NovoFIFA 15 - Carreira como jogador #3 Seguindo com vitorias. /SERIE 720p 60fps [PT-BR]: http://t.co/CbP7AzfxP9  via @YouTube||
signossiga2|Mon Mar 30 21:48:02 +0000 2015|#Virgem - (31.03.2015): Amanha nao va atras do aspecto fisico. Estara mais suscetivel ...Previsao completa: http://t.co/zD3hK4TAKK||
sitehorosdiario|Mon Mar 30 21:48:02 +0000 2015|#Virgem - (31.03.2015): Amanha nao va atras do aspecto fisico. Estara mais suscetivel ...Previsao completa: http://t.co/CWgWKAnhvb||
HOR0SCOPOdodia|Mon Mar 30 21:48:02 +0000 2015|#Virgem - (31.03.2015): Amanha nao va atras do aspecto fisico. Estara mais suscetivel ...Previsao completa: http://t.co/w2rjnVI9Y7||
SignosT0P|Mon Mar 30 21:48:02 +0000 2015|#Virgem - (31.03.2015): Amanha nao va atras do aspecto fisico. Estara mais suscetivel ...Previsao completa: http://t.co/eM4Pn77oxO||
citacoesdavlda|Mon Mar 30 21:48:02 +0000 2015|#Virgem - (31.03.2015): Amanha nao va atras do aspecto fisico. Estara mais suscetivel ...Previsao completa: http://t.co/VNi9vZBgMu||
RefIexoes|Mon Mar 30 21:48:02 +0000 2015|#Virgem - (31.03.2015): Amanha nao va atras do aspecto fisico. Estara mais suscetivel ...Previsao completa: http://t.co/Sx4LmNq6Wn||
sthefanylemoss|Mon Mar 30 21:47:59 +0000 2015|@Pt_Vieiraa se matar mais rapido?||
ferpei25|Mon Mar 30 21:47:59 +0000 2015|Que tal um pouco de historia ? (N)OS CAMINHOS DE ABRIL (1)http://t.co/5OpQlooihd||
RicardoCrisanto|Mon Mar 30 21:47:58 +0000 2015|RT @harrisontargino: Financiamento de campanha exclusivamente publico so existe em um pais do mundo.http://t.co/dQ97Y6fkPv (via UOL Notic...||
sitehorosdiario|Mon Mar 30 21:47:58 +0000 2015|#Leao - (31.03.2015): Amanha possivel reencontro. Controle os ciumes e evite que a m...Previsao completa: http://t.co/CWgWKAnhvb||
HOR0SCOPOdodia|Mon Mar 30 21:47:58 +0000 2015|#Leao - (31.03.2015): Amanha possivel reencontro. Controle os ciumes e evite que a m...Previsao completa: http://t.co/w2rjnVI9Y7||
SignosT0P|Mon Mar 30 21:47:58 +0000 2015|#Leao - (31.03.2015): Amanha possivel reencontro. Controle os ciumes e evite que a m...Previsao completa: http://t.co/eM4Pn77oxO||
signossiga2|Mon Mar 30 21:47:58 +0000 2015|#Leao - (31.03.2015): Amanha possivel reencontro. Controle os ciumes e evite que a m...Previsao completa: http://t.co/zD3hK4BZTc||
citacoesdavlda|Mon Mar 30 21:47:58 +0000 2015|#Leao - (31.03.2015): Amanha possivel reencontro. Controle os ciumes e evite que a m...Previsao completa: http://t.co/VNi9vZBgMu||
RefIexoes|Mon Mar 30 21:47:58 +0000 2015|#Leao - (31.03.2015): Amanha possivel reencontro. Controle os ciumes e evite que a m...Previsao completa: http://t.co/Sx4LmNq6Wn||
j_dias95|Mon Mar 30 21:47:57 +0000 2015|@Pt_Vieiraa voce vai morrer af||
Farminthetown|Mon Mar 30 21:47:56 +0000 2015|Prof. de teatro choca alunos ao mostrar video da sua performance em show onde urina, masturba-se e retira um pres...http://t.co/n6seEgPYpJ||
almanakfc|Mon Mar 30 21:47:56 +0000 2015|RT @cehdomenici: MILITANCIA VIRTUAL DO PT, NOVA PROFISSAO NOS TEMPOS DA DITADURA PTralha. http://t.co/ja1wdjXlcE||
_malumarco|Mon Mar 30 21:47:54 +0000 2015|@marcos_bicalho E,quem ai se importa?- Descer a puia no PT e abominar a corrupcao ( petista)-concede-lhe prerrogativas extras. Viva o Brasil||
promoterfacewan|Mon Mar 30 21:47:54 +0000 2015|@MarivoneProf VOU TE AJUDARLEVANTAR O PT||
Gerd_Klotz|Mon Mar 30 21:47:54 +0000 2015|Burra, futil e vulgar. A cara da direita brasileira. http://t.co/lLe8uRXI3e||
sitehorosdiario|Mon Mar 30 21:47:53 +0000 2015|#Cancer - (31.03.2015): Amanha sera um dia de muita paixao. Nao tenha medo de assumir ...Previsao completa: http://t.co/CWgWKAnhvb||
HOR0SCOPOdodia|Mon Mar 30 21:47:53 +0000 2015|#Cancer - (31.03.2015): Amanha sera um dia de muita paixao. Nao tenha medo de assumir ...Previsao completa: http://t.co/w2rjnVI9Y7||
SignosT0P|Mon Mar 30 21:47:53 +0000 2015|#Cancer - (31.03.2015): Amanha sera um dia de muita paixao. Nao tenha medo de assumir ...Previsao completa: http://t.co/eM4Pn77oxO||
signossiga2|Mon Mar 30 21:47:53 +0000 2015|#Cancer - (31.03.2015): Amanha sera um dia de muita paixao. Nao tenha medo de assumir ...Previsao completa: http://t.co/zD3hK4BZTc||
citacoesdavlda|Mon Mar 30 21:47:53 +0000 2015|#Cancer - (31.03.2015): Amanha sera um dia de muita paixao. Nao tenha medo de assumir ...Previsao completa: http://t.co/VNi9vZBgMu||
RefIexoes|Mon Mar 30 21:47:53 +0000 2015|#Cancer - (31.03.2015): Amanha sera um dia de muita paixao. Nao tenha medo de assumir ...Previsao completa: http://t.co/Sx4LmNq6Wn||
Iuri_PT|Mon Mar 30 21:47:53 +0000 2015|Enfim em casa, caraca, to cansado||
MarxVinicius13|Mon Mar 30 21:47:51 +0000 2015|"RT @LiviaPetralha: Excelente! Lula estara amanha em ato em defesa da democracia | Brasil 24/7 http://t.co/qAihUWtY2P via @brasil247"||
