user|time|tweet|latitude|longitude
RosangelaZizler|Sun Mar 15 03:02:58 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
_deemelo|Sun Mar 15 03:02:48 +0000 2015|Caraca sabado ja tem outra balada na FMU, open |-23.4931995|-46.66804697
5twteam|Sun Mar 15 03:00:19 +0000 2015|RT @2twthebeta: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/HjE8h3h9Ap;||
4twround|Sun Mar 15 03:00:18 +0000 2015|RT @2twthebeta: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/HjE8h3h9Ap;||
1twThe|Sun Mar 15 03:00:18 +0000 2015|RT @2twthebeta: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/HjE8h3h9Ap;||
joseph_renato|Sun Mar 15 02:58:32 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
ikmkoji|Sun Mar 15 02:56:02 +0000 2015|RTUOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/X1O2B7Panw||
3twtim|Sun Mar 15 02:55:07 +0000 2015|RT @2twthebeta: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/HjE8h3h9Ap;||
2twthebeta|Sun Mar 15 02:54:40 +0000 2015|Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/HjE8h3h9Ap;||
franciscodas1|Sun Mar 15 02:52:23 +0000 2015|RT @UOLNoticias: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
UOLNoticias|Sun Mar 15 02:52:09 +0000 2015|Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/Sf7aSt5yaD||
fuckamari|Sun Mar 15 02:43:28 +0000 2015|e nois carai a fmu fica pequena hahahaha https://t.co/1llQZAiZzo||
lunasfaustino|Sun Mar 15 00:54:30 +0000 2015|Gostei de um video @YouTube de @amandaalmozara http://t.co/Orrb4ERN5w Aula FMU - Direito Administrativo||
Alessandro40540|Sun Mar 15 00:46:13 +0000 2015|Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/LrNTuirTOI||
nata_dgs|Sat Mar 14 23:32:50 +0000 2015|eu odeio essa materia ead eu odeio mesmo fmu pq faz isso esse caraio||
_grazifaria|Sat Mar 14 22:28:50 +0000 2015|Dia nacional dos animais - 14 de marco  #minhapaixao #medvet @ Hovet - Hospital Veterinario FMU -... https://t.co/m0Dq4GTaaA|-23.61348362|-46.70427466
danknoxx|Sat Mar 14 22:20:21 +0000 2015|Aula foda demais #happy #class #brothers #fun #friday #study @ FMU Educacao Fisica https://t.co/DlaKgRJiN6|-23.56184882|-46.63451673
danknoxx|Sat Mar 14 22:11:31 +0000 2015| aula de natacao sem igual #fmu #educacaofisica #natacao #class #fun #happy #friday @ FMU... https://t.co/tWsPOGpNRk|-23.56184882|-46.63451673
Adiosgabi|Sat Mar 14 20:26:45 +0000 2015|Que saudaaade que eu estava  amo muuuuito voces. #fmu #bodeloko #medvet https://t.co/nUIsnaHhf2||
maaasales|Sat Mar 14 20:05:57 +0000 2015|@DarkeinsteinL aparece sim cretino! Vc ta na fmu ainda?||
daii_aquiino|Sat Mar 14 19:54:58 +0000 2015|O que eu quero ler  O que eu tenho que ler #faculdade #FMU #Historia #Books https://t.co/j4PIjB4KLx||
avematheus|Sat Mar 14 19:51:27 +0000 2015|Cervejada Veterinaria FMU!!! #FMUsim @ Barroca Zona Sul https://t.co/csMKfrOZNw|-23.62894065|-46.63077981
tainahgarcia|Sat Mar 14 19:24:06 +0000 2015|Os caras fazem musiquinha pra falar mal do Mack e rima FMU com cu kkkkkkkkkkkkk af|-23.4946687|-46.8767791
tainahgarcia|Sat Mar 14 19:22:01 +0000 2015|Nada contra quem estuda na FMU, mas o pessoal de direito da FMU e muito merda kkkkkkkk serio, sao muito ridiculos.|-23.4947086|-46.8767539
tainahgarcia|Sat Mar 14 19:21:13 +0000 2015|Esse povo da FMU causando no evento do juridicos. Meu deus, q bando de favelado.|-23.4947178|-46.8767486
remenissions__|Sat Mar 14 18:21:25 +0000 2015|Adeus, fmuOla, FPA  sz sz||
bruunabrs|Sat Mar 14 17:05:37 +0000 2015|Aulinha do sabado!  @ FMU - Campus Brigadeiro https://t.co/HntDtllyME|-23.55927863|-46.64210755
thaumccoy|Sat Mar 14 16:11:53 +0000 2015|Brisadosss   #SoBrisa #VamoEstudar @ Fmu Ana Rosa https://t.co/YJGZsxcI5Y|-23.5797187|-46.63912888
EnkiPimenta|Sat Mar 14 14:55:09 +0000 2015|#Samsung registra #Patente de celular totalmente flexivel! http://t.co/7xN00WSbOa#DireitosAutorais #PropriedadeIntelectual #Fmu||
Duhziga|Sat Mar 14 14:36:46 +0000 2015|@porraflames FMU. Mas vo pedir transf pra USP. Pq?||
Prym_|Sat Mar 14 14:18:42 +0000 2015|I'm at FMU - Campus Pos-graduacao https://t.co/h027c8XIe9||
Karina_Piires|Sat Mar 14 13:41:51 +0000 2015|@_alicesimi quero conseguir 100% pelo enem Fmu,Mack,Faap as principais||
micolds|Sat Mar 14 13:20:38 +0000 2015|#branding (@ FMU - Campus Pos-graduacao) https://t.co/YB64n0hdns|-23.56289201|-46.63884546
cierifmu|Sat Mar 14 12:50:16 +0000 2015|Com o objetivo de estimular e fomentar o conhecimento e a pesquisa, o Complexo Educacional FMU informa que estao... http://t.co/LzkWynRH5u||
serracaldas|Sat Mar 14 12:00:56 +0000 2015|A Patria Educadora? Sei.  Engracado que nao vejo professor indignado com isso.  Ou seja,  tao recebendo o... http://t.co/oc2wk11geO||
fulldsclsr|Sat Mar 14 10:31:55 +0000 2015|@itsdanielyall to fazendo prod. audiovisual na FMU (moro nos quinto do parque da cantareira e estudo na Zona Sul de SP)||
AdrianaDriRio|Sat Mar 14 10:09:33 +0000 2015|Universitarios passam a madrugada na calcada para aderir ao Fies http://t.co/MJf3BzOuyl||
flaaavio447|Sat Mar 14 09:05:43 +0000 2015|RT @folha: Por Fies, aluna madruga na porta da FMU, mas so consegue data para voltar http://t.co/REyhnPEVcE http://t.co/duU8qaNnOX||
masterlinconl|Sat Mar 14 07:05:20 +0000 2015|"E a crise chega "" na patria educadora ""! http://t.co/Kayax59GVX"||
ariaane_almeida|Sat Mar 14 06:27:56 +0000 2015|Balada de fraternidades da #fmu vai ta ooh  ......mais nao posso ir ||
gabrielamussi_|Sat Mar 14 05:06:49 +0000 2015|Eu espero de verdade nao estudar nessa FMU kkkkkk ce louco||
EnkiPimenta|Sat Mar 14 04:52:15 +0000 2015|Empresa que divulga produto antes de registra-lo nao perde patente http://t.co/a0wbP1WYG0 #DireitosAutorais #DireitoCivil #Inpi #Fmu||
EnkiPimenta|Sat Mar 14 04:50:49 +0000 2015|Acao reparatoria pode ajuizada no domicilio da parte autora http://t.co/thrUyd3N1t #DireitosAutorais #DireitoCivil #Competencia #CPC #Fmu||
EnkiPimenta|Sat Mar 14 04:48:12 +0000 2015|Rubens Barrichelo deve ser indenizado por uso indevido de imagem http://t.co/HukCBNUd8x #DireitoCivil #DireitosAutorais #Fmu||
FrancosoDavid|Sat Mar 14 04:46:26 +0000 2015|Sexta feira 13 #fmu #vergueiro #sexta #happy https://t.co/RVco60uA7I||
EnkiPimenta|Sat Mar 14 04:45:54 +0000 2015|Para relacao virar uniao estavel, casal precisa construir familia http://t.co/4GEN73ODhc #DireitoCivil #DireitoDeFamilia #UniaoEstavel #Fmu||
ingrid_es|Sat Mar 14 04:45:19 +0000 2015|MAAAAAAANO o cara da FMU me adicionou, blz, acho que e ele ne, ai aceitei e tem logo varios porno na linha do tempo socorro ahahah exclui||
EnkiPimenta|Sat Mar 14 04:43:30 +0000 2015|Homossexual tem direito a pensao de ex-companheiro, julga STJ http://t.co/goK3qrLjTJ #DireitoCivil #DireitoDeFamilia #Fmu||
EnkiPimenta|Sat Mar 14 04:41:50 +0000 2015|Plano de saude nao pode interromper tratamento por alcoolismo http://t.co/DzBnAeWIZv #DireitoCivil #DireitoDoConsumidor #Fmu||
EnkiPimenta|Sat Mar 14 04:39:06 +0000 2015|Veja como o STJ tem julgado os conflitos na venda de imoveis http://t.co/ihFUnwGiBx #DireitoCivil #Imobiliario #Fmu||
EnkiPimenta|Sat Mar 14 04:35:01 +0000 2015|STJ autoriza desconstituicao de paternidade apos 5 anos de convivio http://t.co/iUFusAmbEi #DireitoCivil #Familia #Paternidade #Fmu||
cornerstune|Sat Mar 14 04:27:39 +0000 2015|@lafonpain EITA PRA QUE TANTA FMU|-23.5325023|-46.8452604
thaynathata_|Sat Mar 14 04:07:16 +0000 2015|Ainda to no site da FMU, vendo uns bang... Minha faculdade sao so 2 anos, que suave||
natimingos|Sat Mar 14 03:46:23 +0000 2015|Seguuuuura. #FMU https://t.co/5J4Gmxam8Q||
